GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                                  
601,166847909,799292,64.42,0.309,18.180555,-66.749961
602,78546713,4428428,30.327,1.71,18.361945,-67.175597
603,88957333,6276536,34.347,2.423,18.458497,-67.123906
606,114825382,12487,44.334,0.005,18.158327,-66.932928
610,96129350,4310530,37.116,1.664,18.294032,-67.127156
611,27570859,3631,10.645,0.001,18.276316,-66.807165
612,197202754,15258391,76.14,5.891,18.416727,-66.70009
616,28189755,143499,10.884,0.055,18.420412,-66.671979
617,47538645,1692937,18.355,0.654,18.446889,-66.561154
622,80724808,19583150,31.168,7.561,17.988103,-67.160357
623,101522968,14192149,39.198,5.48,18.084371,-67.158765
624,121623976,15387375,46.959,5.941,18.051808,-66.721711
627,120095653,3506587,46.369,1.354,18.412507,-66.863811
631,8095945,709369,3.126,0.274,18.184294,-66.830795
636,949819,0,0.367,0.0,18.1636,-67.080097
637,91091117,26242,35.17,0.01,18.080103,-66.947975
638,184928682,478957,71.401,0.185,18.280188,-66.513111
641,217850443,3453794,84.113,1.334,18.268074,-66.701785
646,54524894,3254763,21.052,1.257,18.432897,-66.286499
647,40949566,7963090,15.811,3.075,17.963613,-66.947127
650,82140025,564374,31.714,0.218,18.349103,-66.578175
652,16685216,58059,6.442,0.022,18.44844,-66.59411
653,57201263,5275491,22.086,2.037,17.988642,-66.90169
656,109153712,10485397,42.144,4.048,18.040426,-66.789673
659,106336153,3046729,41.057,1.176,18.406773,-66.809288
660,29314496,481,11.318,0.0,18.134695,-67.116199
662,106890325,5321071,41.271,2.054,18.468301,-67.015749
664,121495188,3318,46.91,0.001,18.21033,-66.591616
667,155914156,28249387,60.199,10.907,18.003422,-67.03581
669,166051225,88978,64.113,0.034,18.276925,-66.869587
670,120455394,375649,46.508,0.145,18.233585,-66.987585
674,112542703,6882620,43.453,2.657,18.424145,-66.487895
676,126528240,56474,48.853,0.022,18.381597,-67.080884
677,37733225,3594732,14.569,1.388,18.332568,-67.227022
678,75473614,4721793,29.141,1.823,18.430503,-66.930479
680,166550170,19822248,64.305,7.653,18.183493,-67.133054
682,42242059,8060474,16.31,3.112,18.224864,-67.153891
683,127657838,29360,49.289,0.011,18.1078,-67.037263
685,203807490,1133210,78.691,0.438,18.336887,-66.972929
687,100676194,139537,38.871,0.054,18.318017,-66.420392
688,84182898,72551,32.503,0.028,18.382311,-66.626416
690,5856225,8603,2.261,0.003,18.493543,-67.096915
692,68708823,1997184,26.529,0.771,18.410652,-66.336202
693,115019609,5338663,44.409,2.061,18.425961,-66.398098
694,2069783,1957115,0.799,0.756,18.483127,-66.39236
698,162299760,1631308,62.664,0.63,18.072916,-66.85119
703,80346808,28383,31.022,0.011,18.248401,-66.130662
704,23300028,2021101,8.996,0.78,17.973168,-66.229011
705,78746040,72302,30.404,0.028,18.12896,-66.266691
707,54196286,3816672,20.925,1.474,18.014055,-65.920751
714,38857653,2810000,15.003,1.085,17.995867,-66.055529
715,32913553,10996927,12.708,4.246,17.990485,-66.566143
716,22449489,14362646,8.668,5.545,17.985014,-66.606721
717,6145510,160726,2.373,0.062,18.002639,-66.611087
718,122276829,4619471,47.211,1.784,18.23201,-65.756036
719,73062132,1077829,28.209,0.416,18.28992,-66.25344
720,145399456,286519,56.139,0.111,18.216608,-66.423682
723,119150138,17458470,46.004,6.741,18.019337,-66.001862
725,107130188,1949929,41.363,0.753,18.220689,-66.03958
727,58439043,30356,22.563,0.012,18.211921,-66.073355
728,39878650,21619111,15.397,8.347,17.991071,-66.662968
729,92600431,487976,35.753,0.188,18.334918,-65.887078
730,17191037,147581,6.637,0.057,18.030882,-66.611928
731,126788110,2862000,48.953,1.105,18.109947,-66.635622
735,70903162,7757367,27.376,2.995,18.251772,-65.666882
736,142190601,81711,54.9,0.032,18.103624,-66.151667
738,76709539,77099509,29.618,29.768,18.304458,-65.698711
739,79702683,1107222,30.773,0.428,18.175543,-66.162102
740,1081390,1552447,0.418,0.599,18.333961,-65.631674
741,5896296,2792488,2.277,1.078,18.163855,-65.754042
745,157334017,6269380,60.747,2.421,18.352176,-65.810929
751,157294693,31382701,60.732,12.117,18.003779,-66.262905
754,129481143,241011,49.993,0.093,18.144582,-65.972253
757,84035505,10255591,32.446,3.96,17.991428,-66.402337
765,122392233,41363239,47.256,15.97,18.124207,-65.42307
766,98877455,3739020,38.177,1.444,18.130718,-66.472244
767,142912280,6804946,55.179,2.627,18.069489,-65.896029
769,199632610,39001,77.079,0.015,18.096641,-66.358335
771,87025383,32338,33.601,0.012,18.187148,-65.871189
772,42328585,14246874,16.343,5.501,18.438944,-65.90522
773,62418897,2572582,24.1,0.993,18.342888,-65.723109
775,30161189,43526072,11.645,16.806,18.326608,-65.307769
777,69550601,323994,26.854,0.125,18.224327,-65.909085
778,76464609,1123508,29.523,0.434,18.264076,-65.97851
780,49555814,865444,19.134,0.334,18.094076,-66.565781
782,72466122,319739,27.979,0.123,18.224878,-66.224482
783,109068641,16284,42.112,0.006,18.300221,-66.328927
784,172842358,16198217,66.735,6.254,18.010714,-66.133615
786,4568280,0,1.764,0.0,18.135725,-66.228698
791,110424275,4708377,42.635,1.818,18.142603,-65.812812
794,88884810,77812,34.319,0.03,18.200018,-66.309282
795,154715929,10492030,59.736,4.051,18.04645,-66.495142
802,77269355,30085012,29.834,11.616,18.342939,-64.925102
820,111685262,13196002,43.122,5.095,17.736627,-64.708215
830,50211282,24036673,19.387,9.281,18.338559,-64.73653
840,80276058,4045556,30.995,1.562,17.72471,-64.848522
850,22223184,382853,8.58,0.148,17.726822,-64.792245
851,961179,0,0.371,0.0,17.747525,-64.787439
901,2628102,4169259,1.015,1.61,18.466594,-66.107982
906,8247,0,0.003,0.0,18.46446,-66.094995
907,5291703,5193350,2.043,2.005,18.452271,-66.087625
909,1690949,115273,0.653,0.045,18.441246,-66.068766
911,1232506,684579,0.476,0.264,18.453738,-66.055689
912,960485,0,0.371,0.0,18.445067,-66.059942
913,839091,2158608,0.324,0.833,18.464629,-66.04459
915,3630529,820368,1.402,0.317,18.437179,-66.045571
917,3536052,46271,1.365,0.018,18.420674,-66.050105
918,6987285,149509,2.698,0.058,18.422249,-66.069081
920,9348956,2452161,3.61,0.947,18.422439,-66.09214
921,7948284,0,3.069,0.0,18.392088,-66.087109
923,5205883,937118,2.01,0.362,18.410804,-66.037358
924,12077756,958843,4.663,0.37,18.400422,-66.012567
925,1154387,0,0.446,0.0,18.400271,-66.05059
926,60121390,216592,23.213,0.084,18.348601,-66.053929
927,6275250,5830,2.423,0.002,18.388202,-66.070033
934,3673926,27141,1.419,0.01,18.413,-66.119829
949,53302862,8558461,20.58,3.304,18.409879,-66.227441
950,6898692,1989343,2.664,0.768,18.467225,-66.237929
951,2774243,87331,1.071,0.034,18.42805,-66.259772
952,5742602,0,2.217,0.0,18.428724,-66.188931
953,69121742,1212990,26.688,0.468,18.360729,-66.251527
956,71019565,174866,27.421,0.068,18.321137,-66.170419
957,11243014,1407,4.341,0.001,18.366147,-66.188962
959,15781121,81793,6.093,0.032,18.385785,-66.155654
960,3632364,28932,1.402,0.011,18.416918,-66.142693
961,13980259,1335,5.398,0.001,18.409907,-66.163361
962,12473974,2771325,4.816,1.07,18.439988,-66.1355
965,2344448,328905,0.905,0.127,18.430508,-66.110917
966,6527024,0,2.52,0.0,18.397875,-66.113935
968,1180790,0,0.456,0.0,18.406063,-66.101232
969,13048560,53315,5.038,0.021,18.366226,-66.110047
971,41507228,80665,16.026,0.031,18.318884,-66.11919
976,45157260,810785,17.435,0.313,18.33618,-65.994101
979,10071322,7179638,3.889,2.772,18.438359,-65.999169
982,3736529,19112,1.443,0.007,18.408744,-65.991273
983,11192161,996759,4.321,0.385,18.41722,-65.981317
985,23917841,798774,9.235,0.308,18.410774,-65.947927
987,67158116,580841,25.93,0.224,18.343988,-65.943754
1001,29247431,2128272,11.292,0.822,42.062368,-72.625754
1002,137931891,4281090,53.256,1.653,42.377212,-72.464795
1003,2082670,14001,0.804,0.005,42.391883,-72.523584
1005,111859191,666424,43.189,0.257,42.418884,-72.112077
1007,142111112,6937393,54.869,2.679,42.283935,-72.400409
1008,158470969,5609414,61.186,2.166,42.192024,-72.964076
1009,1806483,0,0.697,0.0,42.211386,-72.341809
1010,91236290,1421542,35.227,0.549,42.128176,-72.205352
1011,84938967,343003,32.795,0.132,42.290128,-72.966516
1012,31252206,372019,12.067,0.144,42.375425,-72.858192
1013,14659172,1514245,5.66,0.585,42.142009,-72.595496
1020,32273636,988428,12.461,0.382,42.172611,-72.56192
1022,12468872,2118,4.814,0.001,42.197187,-72.541872
1026,72654747,529601,28.052,0.204,42.470032,-72.925707
1027,105117211,1207848,40.586,0.466,42.295008,-72.751877
1028,33466105,181607,12.921,0.07,42.062378,-72.498111
1029,25823458,5096491,9.97,1.968,42.176271,-73.035292
1030,31155981,495757,12.029,0.191,42.072925,-72.686972
1031,17438359,0,6.733,0.0,42.327809,-72.191968
1032,24991855,713812,9.649,0.276,42.457613,-72.81478
1033,72025733,666977,27.809,0.258,42.244949,-72.500143
1034,175464181,4774426,67.747,1.843,42.093912,-72.961103
1035,59800323,3946819,23.089,1.524,42.356491,-72.568632
1036,50791584,77618,19.611,0.03,42.071188,-72.417718
1037,48111810,434215,18.576,0.168,42.376036,-72.197364
1038,23888136,2240323,9.223,0.865,42.379925,-72.604045
1039,42712270,609260,16.491,0.235,42.411304,-72.690951
1040,54826719,4226396,21.169,1.632,42.211658,-72.642448
1050,107146021,2582669,41.369,0.997,42.291259,-72.874803
1053,14893903,229058,5.751,0.088,42.356301,-72.713584
1054,59390376,425598,22.931,0.164,42.468898,-72.484579
1056,70436242,2958247,27.196,1.142,42.183577,-72.457812
1057,115364745,1421370,44.543,0.549,42.093596,-72.321494
1060,28147218,3248228,10.868,1.254,42.321251,-72.630395
1062,45199186,416742,17.452,0.161,42.323033,-72.701789
1063,228872,0,0.088,0.0,42.319584,-72.639539
1066,3267653,12961,1.262,0.005,42.413039,-72.623639
1068,56254821,1033076,21.72,0.399,42.353887,-72.060685
1069,72670133,836920,28.058,0.323,42.188862,-72.30648
1070,51384243,596478,19.84,0.23,42.519909,-72.925354
1071,40656364,651235,15.698,0.251,42.160064,-72.87384
1072,49451048,653645,19.093,0.252,42.456968,-72.417244
1073,72908579,2082889,28.15,0.804,42.226949,-72.741588
1074,671655,52379,0.259,0.02,42.380823,-72.103895
1075,45899614,1865237,17.722,0.72,42.256532,-72.580248
1077,79912788,2151144,30.855,0.831,42.05257,-72.777353
1079,4163329,50403,1.607,0.019,42.185745,-72.33246
1080,4313061,256694,1.665,0.099,42.185727,-72.361558
1081,37485117,586926,14.473,0.227,42.061313,-72.234411
1082,121750768,19756886,47.008,7.628,42.299749,-72.279164
